Date,STDAlbedo,STDAlgae,STDDust,STDGrain,meanAlbedo,meanAlgae,meanDensity,meanDust,meanGrain,DOY,STDDensity
2017-07-16,0.1543464572986574,10877.244499068558,32061.037396667314,4686.070515641217,0.5613695113244497,1391.5655490999782,760.2394781032251,19156.616387425358,6981.311910243715,197,132.74534360558783
2017-07-19,0.1384759769694105,11190.295541092226,31480.464061574174,3286.0630960801013,0.7113656945937776,1730.3242262038111,748.0677256850588,19773.369818773335,4045.1920049100204,200,138.134300196207
2017-07-22,0.15863117296017237,12035.582095555143,34350.78215556881,3843.5534973907756,0.6406202093556241,2071.995208454915,734.3784274008946,21637.22576739129,5620.605339648398,203,160.0830366887523
2017-07-25,0.15841410955296867,11691.210657848736,31477.47487978839,4796.358391751063,0.5544022190672651,1851.5193775846685,733.3946883212309,23740.062977085283,7477.385667141917,206,155.58841989103195
2017-07-28,0.15397884229442696,16414.00460419652,15619.649200597934,4301.033396483863,0.48779868459080583,3262.2593526359083,692.3878435369146,4558.413862378108,10074.17097134352,209,158.31649159841766
2017-07-31,0.14930121684957887,16287.437015440251,15433.321588039302,4681.202815026309,0.4572133340546939,3099.1050045003835,689.9602078064105,5340.924672342076,10762.89260748859,212,162.95983763476323
2017-08-03,0.1592794713016241,19071.465130451325,21952.99084209201,4963.5467693420605,0.4498863419865981,3747.4639498317274,683.0551973370412,9419.564273927332,11190.8273450318,215,179.66697625457473
2017-08-06,0.15577747201841552,17976.468444802165,23386.957175416574,4546.001585919185,0.4830616936089564,3678.828319824679,692.3690733741502,10659.250961653594,9478.61402116871,218,161.48620721164696
2017-08-09,0.15018957437462502,15551.595911652761,23505.89469871251,4447.818260489067,0.4772476714974975,3450.693418433969,691.0866593893377,12816.838974369351,9787.283477070894,221,165.92445609110197
2017-08-12,0.13621032208099507,15655.689841982656,22920.15758819179,4254.104580711765,0.45137836672676873,4147.9470272494345,660.0156582739471,11816.489236285368,10531.619048912773,224,160.65148348560965
2017-08-15,0.13344011800201014,15508.094094167896,17652.961417178038,4204.524566703451,0.4636885502048368,3381.868996597999,685.5646484348534,6176.355787148066,10204.491339130225,227,151.4776213224274
2017-08-18,0.16535317462794477,18515.4771596765,24346.435696141936,5737.870988505993,0.37700787158412286,4568.585958032596,663.3975233305589,11830.266968193804,12415.643936524288,230,204.99747850449194
2017-08-21,0.17470364802136448,11724.163289938344,28016.166521460207,4989.47505569232,0.49582039489291496,3313.3408995110585,681.7462150261308,15188.89437192597,10169.360666141816,233,189.72458046919957
2017-08-24,0.1587598866888139,14142.565814853273,25859.605434023444,5067.39837094387,0.5187602303072321,3276.5342092463707,718.4513868737021,11782.672165132155,8660.195441739812,236,163.5388276657452
2017-08-27,0.13851420119435287,10905.395444513106,21943.22639211702,3346.4904015403067,0.6586845783150946,2244.7393307082734,748.7862923240705,9363.151668156595,4739.081657926969,239,107.42590440478106
2017-08-30,0.1268984378083307,8511.79700400718,19762.5455405807,3014.888635109145,0.649306871514665,1874.8880849111702,747.2158616642369,9209.55217606266,5067.52343962881,242,97.97139803182023
2018-06-01,0.19854466864416287,22944.414637153815,57720.459461298444,7577.072220611418,0.5180198872207717,3072.6024749032417,683.0231482468487,34602.87766994825,9549.734828091736,152,224.40563199088328
2018-06-04,0.19451970170524635,21846.328516005986,54578.18751572515,7292.172556655099,0.5200294113795189,2949.5552058310873,683.5166038797263,32612.67870696584,9326.572270747969,155,221.51949293713977
2018-06-07,0.19029344062654138,20754.57396208832,51466.60696794619,6997.238676196934,0.5222990234038531,2826.5487129096355,684.041001738366,30623.051820359542,9121.696037840564,158,219.2893817507432
2018-06-10,0.17631670389746876,16943.183479478426,45444.219191212345,6071.053589550641,0.5660115474162819,2273.7663912417042,705.0027867967012,25624.42568820425,7823.61967114567,161,186.3281570475529
2018-06-13,0.11434876838320042,7233.789923207408,27220.32698807607,3004.0747753114047,0.6831898771752949,377.105356471268,787.3402743820991,14307.789666202292,4072.3205067755525,164,73.86344275323776
2018-06-16,0.11982797887027001,9345.157127561917,31662.097116220837,3054.6786698855726,0.7040778129961124,574.3054050299943,783.9814985637747,17628.69613622577,3940.288324853631,167,88.4719910198626
2018-06-19,0.11439627314370254,7760.87853615942,24713.10285754406,2961.990599493688,0.6439250586909285,506.3025390587198,779.9504835813779,11884.53024030531,4848.410987578434,170,76.0015236048172
2018-06-22,0.12118295410423181,9606.500926969791,30656.237132721355,3324.1753607388005,0.6338114401467395,687.1570834481654,783.0292553120365,15953.191778006847,4941.427095830362,173,91.31948547121485
2018-06-25,0.1295719582307647,11727.16362317692,37487.54839560838,3735.329275632756,0.6240159229758204,886.4463769287693,786.1080270426955,20224.978242685225,5069.490947621398,176,110.35759280760651
2018-06-28,0.12952020858710925,8337.011427520009,28178.03042963642,3084.379028932692,0.6984695614541216,632.1895863560642,779.4283105045319,14868.531293164353,4086.1591671619026,179,92.49936878444166
2018-07-01,0.13824154907585354,9964.82561084313,34311.63617087964,3316.7516982214975,0.7253471805540075,830.9161425832668,784.0009883946232,19895.39859235343,3748.0134179918723,182,110.11167229785454
2018-07-04,0.12913429325982906,9385.2907792592,32618.891903909425,3456.344650458506,0.6680670799667716,807.030223786436,779.9078914335445,18136.503048060848,4802.562549070017,185,104.34031472086288
2018-07-07,0.13513627064535075,10518.76537801126,34609.452773969744,3504.958393910335,0.6785833731398547,976.1449148733284,783.2437378796839,18795.14591478302,4817.094176810999,188,113.00065126607801
2018-07-10,0.14305847667043872,11276.661523542294,28318.163779439452,3694.3762422744103,0.6382965832220525,1271.7403139232488,757.879678693095,14370.48309308564,5578.472569778141,191,118.81261477978084
2018-07-13,0.13864445385140764,11408.328633938476,23445.244757005075,3958.7436780249473,0.5806595023529564,1386.3706730640197,746.1943195857527,10205.846345885659,7683.778467328135,194,121.0366757414823
2018-07-16,0.13993570324417512,9004.403963053206,26102.58128702514,4222.499292229877,0.537326112191232,1398.2727242435938,723.6249251641937,12893.868783212256,9109.753384743652,197,147.59466976615738
2018-07-19,0.1480999246780763,11097.629521126164,21856.481401656976,4971.069994687471,0.43839127328663424,1743.719736002363,696.1957348436757,11606.014503414317,10974.288720293145,200,161.7665921228538
2018-07-22,0.15841585792670126,10595.136933208714,29664.89087606133,5051.598034046556,0.4473572941513958,1717.6130162808993,695.5983773900372,16865.02724325821,10630.934254803024,203,169.2032355429732
